"name","date","dem"
"BUL",1886-09-03,-1
"PER",1883-10-20,-3
"PER",1886-05-29,-3
"LBR",1884-06-30,-3
"LBR",1890-06-29,-3
"NOR",1884-07-02,-2
"NOR",1898-02-14,-2
"COS",1885-03-12,1
"COS",1890-05-06,1
"BUL",1886-09-04,-5
"BUL",1894-06-11,-5
"COL",1886-08-04,-3
"COL",1900-07-30,-3
"PER",1886-05-30,2
"PER",1919-07-02,2
"CAN",1888-06-30,9
"CAN",1921-12-04,9
"CHL",1888-06-30,5
"CHL",1891-09-18,5
"BRA",1889-11-15,-3
"BRA",1894-06-29,-3
"NTH",1889-12-06,-2
"NTH",1917-11-13,-2
"COS",1890-05-07,5
"COS",1894-05-06,5
"GMY",1890-03-18,1
"GMY",1909-07-13,1
"LBR",1890-06-30,-4
"LBR",1909-06-29,-4
"POR",1890-06-30,-4
"POR",1900-06-29,-4
"SPN",1890-06-30,5
"SPN",1895-06-29,5
"CHL",1891-09-19,3
"CHL",1924-11-08,3
"VEN",1892-06-17,-3
"VEN",1909-12-18,-3
"NEW",1893-06-30,10
"NEW",2012-12-28,10
"BRA",1894-06-30,-3
"BRA",1930-10-29,-3
"BUL",1894-06-12,-9
"BUL",1913-06-28,-9
"COS",1894-05-07,8
"COS",1917-01-25,8
"HON",1894-10-14,5
"HON",1904-02-07,5
"SPN",1895-06-30,4
"SPN",1900-06-29,4
"GUA",1896-06-30,-3
"GUA",1898-10-01,-3
"FRN",1898-06-30,8
"FRN",1919-07-10,8
"GUA",1898-10-02,2
"GUA",1900-06-29,2
"NOR",1898-02-15,10
"NOR",1940-04-07,10
"COL",1900-07-31,0
"COL",1904-06-29,0
"GUA",1900-06-30,-9
"GUA",1921-12-04,-9
"ITA",1900-07-29,-1
"ITA",1922-10-30,-1
"POR",1900-06-30,-3
"POR",1906-05-18,-3
"ROM",1900-06-30,-6
"ROM",1910-06-29,-6
"SPN",1900-06-30,6
"SPN",1902-05-16,6
"AUL",1900-12-31,10
"AUL",2012-12-28,10
"DEN",1901-04-15,0
"DEN",1915-06-03,0
"ECU",1901-06-30,-3
"ECU",1925-08-18,-3
"UKG",1901-07-15,8
"UKG",1922-11-14,8
"CUB",1902-05-19,3
"CUB",1917-02-07,3
"SPN",1902-05-17,6
"SPN",1923-09-11,6
"PAN",1903-11-02,-3
"PAN",1949-11-18,-3
"SAL",1903-06-30,-6
"SAL",1931-12-01,-6
"COL",1904-06-30,-5
"COL",1930-06-28,-5
"HON",1904-02-08,0
"HON",1907-03-24,0
"PAR",1904-06-30,-3
"PAR",1936-03-10,-3
"RUS",1905-10-30,0
"RUS",1906-05-05,0
"IRN",1906-10-07,0
"IRN",1921-02-20,0
"POR",1906-05-19,-1
"POR",1907-05-14,-1
"RUS",1906-05-06,-6
"RUS",1917-02-23,-6
"HON",1907-03-25,0
"HON",1908-08-31,0
"POR",1907-05-15,-9
"POR",1908-01-31,-9
"BEL",1908-11-14,6
"BEL",1914-10-13,6
"HON",1908-09-01,5
"HON",1912-01-08,5
"POR",1908-02-01,2
"POR",1910-10-04,2
"TUR",1908-12-17,-4
"TUR",1909-04-12,-4
"LUX",1908-11-14,6
"LUX",1914-10-13,6
"GMY",1909-07-14,2
"GMY",1918-11-07,2
"LBR",1909-06-30,-6
"LBR",1980-04-10,-6
"NIC",1909-12-16,-3
"NIC",1926-12-01,-3
"TUR",1909-04-13,-1
"TUR",1918-10-28,-1
"VEN",1909-12-19,-6
"VEN",1920-06-28,-6
"POR",1910-10-05,0
"POR",1911-08-19,0
"ROM",1910-06-30,-4
"ROM",1916-08-25,-4
"SAF",1910-05-30,4
"SAF",1990-01-31,4
"CHN",1911-10-15,0
"CHN",1912-03-09,0
"MEX",1911-05-25,0
"MEX",1917-01-29,0
"POR",1911-08-20,7
"POR",1926-05-26,7
"ARG",1912-06-30,2
"ARG",1930-09-04,2
"CHN",1912-03-10,2
"CHN",1913-11-03,2
"HON",1912-01-09,0
"HON",1913-03-20,0
"BUL",1913-06-29,0
"BUL",1914-03-14,0
"CHN",1913-11-04,0
"CHN",1914-04-30,0
"HON",1913-03-21,5
"HON",1919-09-07,5
"ALB",1914-09-03,-2
"ALB",1915-03-07,-2
"BEL",1914-10-14,0
"BEL",1918-11-08,0
"BUL",1914-03-15,-9
"BUL",1918-10-02,-9
"CHN",1914-05-01,-5
"CHN",1937-07-05,-5
"DOM",1914-06-26,0
"DOM",1924-12-30,0
"LUX",1914-10-14,0
"LUX",1918-11-08,0
"ALB",1915-03-08,0
"ALB",1925-01-20,0
"DEN",1915-06-04,10
"DEN",1940-04-07,10
"GRC",1915-11-04,1
"GRC",1916-06-19,1
"HAI",1915-07-26,0
"HAI",1934-08-13,0
"GRC",1916-06-20,0
"GRC",1920-12-04,0
"ROM",1916-08-26,0
"ROM",1917-01-06,0
"COS",1917-01-26,-3
"COS",1920-05-05,-3
"CUB",1917-02-08,0
