"time","actor1","actor2","end_date","outcome","highact","hihost","fatlev"
1939-12-14,"UKG","USA",1940-11-03,"Ongoing","Seizure",4,"None"
1939-12-14,"UKG","USA",1940-11-03,"Compromise","Seizure",4,"None"
1940-01-14,"UKG","RUS",1940-04-02,"Released","Seizure",4,"None"
1940-07-03,"UKG","FRN",1942-11-11,"Ongoing","Begin Interstate War",5,"None"
1940-07-03,"UKG","FRN",1942-11-11,"Ongoing","Begin Interstate War",5,"None"
1940-07-03,"UKG","FRN",1942-11-11,"Win A","Begin Interstate War",5,"1,000+"
1940-07-04,"UKG","FRN",1941-07-07,"Ongoing","Clash",4,"None"
1940-07-04,"UKG","FRN",1941-07-07,"Unclear","Clash",4,"None"
1941-04-30,"UKG","IRQ",1941-05-23,"Win A","Clash",4,"None"
1941-08-19,"RUS","IRN",1941-08-31,"Win A","Raid",4,"None"
1942-02-04,"UKG","EGY",1942-02-04,"Yield B","Show of troops",3,"None"
1942-11-08,"USA","FRN",1942-11-11,"Win A","Begin Interstate War",5,"1,000+"
1945-11-18,"RUS","IRN",1946-05-09,"Ongoing","Show of troops",3,"None"
1945-11-18,"RUS","IRN",1946-05-09,"Yield A","Show of troops",3,"None"
1945-12-04,"RUS","TUR",1946-10-04,"Ongoing","Mobilization",3,"None"
1945-12-04,"RUS","TUR",1946-10-04,"Statlemate","Mobilization",3,"None"
1946-04-15,"RUS","USA",1946-10-04,"Statlemate","Show of troops",3,"None"
1946-08-02,"UKG","IRN",1946-08-03,"Statlemate","Show of Ships",3,"None"
1946-08-03,"UKG","RUS",1946-08-03,"Statlemate","Show of Ships",3,"None"
1948-03-21,"RUS","USA",1949-07-25,"Ongoing","Raid",4,"None"
1948-03-21,"RUS","USA",1949-07-25,"Statlemate","Raid",4,"None"
1948-03-21,"RUS","UKG",1949-07-25,"Ongoing","Raid",4,"None"
1948-03-21,"RUS","UKG",1949-07-25,"Statlemate","Raid",4,"None"
1948-03-21,"RUS","FRN",1949-07-25,"Ongoing","Raid",4,"None"
1948-03-21,"RUS","FRN",1949-07-25,"Statlemate","Raid",4,"None"
1948-05-14,"IRQ","ISR",1948-10-22,"Win B","Begin Interstate War",5,"1,000+"
1948-05-14,"EGY","ISR",1949-01-07,"Ongoing","Begin Interstate War",5,"None"
1948-05-14,"EGY","ISR",1949-01-07,"Win B","Begin Interstate War",5,"1,000+"
1948-05-14,"SYR","ISR",1948-10-31,"Win B","Begin Interstate War",5,"1,000+"
1948-05-14,"LEB","ISR",1948-10-31,"Win B","Begin Interstate War",5,"1,000+"
1948-05-14,"JOR","ISR",1949-03-10,"Ongoing","Begin Interstate War",5,"None"
1948-05-14,"JOR","ISR",1949-03-10,"Win B","Begin Interstate War",5,"1,000+"
1948-06-01,"EGY","JOR",1948-06-30,"Unclear","Clash",4,"None"
1949-01-07,"ISR","UKG",1949-04-04,"Statlemate","Raid",4,"0-25"
1949-01-08,"ISR","JOR",1949-04-04,"Statlemate","Raid",4,"0-25"
1949-04-06,"ISR","SYR",1949-04-13,"Statlemate","Border violation",3,"None"
1949-04-26,"SYR","JOR",1949-08-14,"Statlemate","Show of troops",3,"None"
1949-05-19,"SYR","LEB",1949-08-14,"Statlemate","Raid",4,"None"
1949-06-15,"IRQ","JOR",1949-08-14,"Statlemate","Show of troops",3,"None"
1949-07-01,"UKG","YAR",1949-09-09,"Win A","Raid",4,"None"
1949-12-23,"EGY","ISR",1950-01-07,"Ongoing","Clash",4,"None"
1949-12-23,"EGY","ISR",1950-01-07,"Statlemate","Clash",4,"None"
1950-02-16,"SYR","ISR",1950-09-04,"Statlemate","Raid",4,"0-25"
1950-04-20,"ISR","JOR",1956-10-26,"Ongoing","Raid",4,"None"
1950-04-20,"ISR","JOR",1956-10-26,"Ongoing","Raid",4,"None"
1950-04-20,"ISR","JOR",1956-10-26,"Ongoing","Raid",4,"None"
1950-04-20,"ISR","JOR",1956-10-26,"Ongoing","Raid",4,"None"
1950-04-20,"ISR","JOR",1956-10-26,"Ongoing","Raid",4,"None"
1950-04-20,"ISR","JOR",1956-10-26,"Ongoing","Raid",4,"None"
1950-04-20,"ISR","JOR",1956-10-26,"Statlemate","Raid",4,"101-250"
1950-05-03,"RUS","UKG",1950-09-27,"Statlemate","Seizure",4,"None"
1950-07-12,"SYR","ISR",1950-07-12,"Yield B","Seizure",4,"None"
1950-10-09,"SYR","ISR",1952-07-13,"Ongoing","Raid",4,"None"
1950-10-09,"SYR","ISR",1952-07-13,"Ongoing","Raid",4,"None"
1950-10-09,"SYR","ISR",1952-07-13,"Statlemate","Raid",4,"26-100"
1950-11-06,"ISR","EGY",1951-04-07,"Ongoing","Raid",4,"None"
1950-11-06,"ISR","EGY",1951-04-07,"Yield B","Raid",4,"None"
1951-04-16,"RUS","USA",1951-11-24,"Statlemate","Show of troops",3,"None"
1951-05-17,"UKG","IRN",1951-09-08,"Yield A","Show of Ships",3,"None"
1951-06-06,"UKG","RUS",1951-09-08,"Yield A","Show of troops",3,"None"
1951-08-02,"IRN","RUS",1951-08-02,"Statlemate","Raid",4,"None"
1951-09-19,"ISR","EGY",1952-07-02,"Ongoing","Raid",4,"None"
1951-09-19,"ISR","EGY",1952-07-02,"Yield B","Raid",4,"101-250"
1951-10-13,"UKG","EGY",1952-01-26,"Ongoing","Clash",4,"None"
1951-10-13,"UKG","EGY",1952-01-26,"Win A","Clash",4,"26-100"
1951-12-16,"SYR","ISR",1952-06-29,"Ongoing","Raid",4,"None"
1951-12-16,"SYR","ISR",1952-06-29,"Statlemate","Raid",4,"0-25"
1951-12-20,"EGY","ISR",1951-12-20,"Statlemate","Border violation",3,"None"
1951-12-28,"SYR","ISR",1951-12-28,"Statlemate","Raid",4,"None"
1952-01-09,"ISR","SYR",1952-04-25,"Released","Seizure",4,"None"
1952-12-24,"EGY","ISR",1954-03-26,"Ongoing","Seizure",4,"None"
1952-12-24,"EGY","ISR",1954-03-26,"Ongoing","Seizure",4,"None"
1952-12-24,"EGY","ISR",1954-03-26,"Statlemate","Seizure",4,"None"
1953-01-24,"ISR","EGY",1956-10-06,"Ongoing","Raid",4,"None"
1953-01-24,"ISR","EGY",1956-10-06,"Ongoing","Raid",4,"None"
1953-01-24,"ISR","EGY",1956-10-06,"Ongoing","Raid",4,"None"
1953-01-24,"ISR","EGY",1956-10-06,"Statlemate","Raid",4,"101-250"
1953-02-01,"SYR","ISR",1958-01-22,"Ongoing","Raid",4,"None"
1953-02-01,"SYR","ISR",1958-01-22,"Ongoing","Raid",4,"None"
1953-02-01,"SYR","ISR",1958-01-22,"Ongoing","Raid",4,"None"
1953-02-01,"SYR","ISR",1958-01-22,"Ongoing","Raid",4,"None"
1953-02-01,"SYR","ISR",1958-01-22,"Ongoing","Raid",4,"None"
1953-02-01,"SYR","ISR",1958-01-22,"Statlemate","Raid",4,"26-100"
1953-02-22,"SYR","ISR",1953-10-28,"Statlemate","Raid",4,"None"
1953-03-12,"USA","RUS",1953-03-31,"Statlemate","Raid",4,"0-25"
1953-03-12,"UKG","RUS",1953-03-31,"Statlemate","Raid",4,"0-25"
1954-02-28,"SYR","ISR",1954-02-28,"Statlemate","Raid",4,"None"
1954-04-06,"SYR","ISR",1955-02-25,"Ongoing","Clash",4,"None"
1954-04-06,"SYR","ISR",1955-02-25,"Statlemate","Clash",4,"0-25"
1954-08-04,"USA","RUS",1954-08-08,"Statlemate","Show of Ships",3,"None"
1954-08-15,"SYR","ISR",1954-12-28,"Released","Seizure",4,"None"
1955-03-26,"SYR","TUR",1955-03-30,"Statlemate","Border violation",3,"None"
1955-03-29,"ISR","SYR",1955-03-31,"Statlemate","Raid",4,"None"
1955-08-04,"ISR","SYR",1955-08-04,"Released","Seizure",4,"None"
1955-09-01,"EGY","ISR",1956-11-06,"Ongoing","Raid",4,"None"
1955-09-01,"EGY","ISR",1956-11-06,"Win B","Begin Interstate War",5,"1,000+"
1955-10-14,"SYR","ISR",1958-02-01,"Ongoing","Raid",4,"None"
1955-10-14,"SYR","ISR",1958-02-01,"Ongoing","Raid",4,"None"
1955-10-14,"SYR","ISR",1958-02-01,"Ongoing","Raid",4,"None"
1955-10-14,"SYR","ISR",1958-02-01,"Statlemate","Raid",4,"0-25"
1955-11-03,"TUR","SYR",1956-12-10,"Ongoing","Clash",4,"None"
1955-11-03,"TUR","SYR",1956-12-10,"Statlemate","Clash",4,"0-25"
1955-11-28,"UKG","SAU",1956-02-13,"Ongoing","Border violation",3,"None"
1955-11-28,"UKG","SAU",1956-02-13,"Statlemate","Border violation",3,"None"
1956-06-03,"UKG","YAR",1958-09-06,"Ongoing","Raid",4,"None"
1956-06-03,"UKG","YAR",1958-09-06,"Ongoing","Raid",4,"None"
1956-06-03,"UKG","YAR",1958-09-06,"Win A","Raid",4,"None"
1956-07-31,"EGY","UKG",1956-11-06,"Win A","Begin Interstate War",5,"1,000+"
1956-08-02,"EGY","FRN",1956-11-06,"Win A","Begin Interstate War",5,"1,000+"
1956-10-12,"ISR","UKG",1956-10-26,"Statlemate","Clash",4,"101-250"
1956-11-05,"RUS","UKG",1956-11-06,"Win A","Threat to use force",2,"None"
1956-11-05,"RUS","FRN",1956-11-06,"Win A","Threat to use force",2,"None"
1956-11-05,"RUS","ISR",1956-11-06,"Statlemate","Threat to use force",2,"None"
1956-11-06,"RUS","USA",1956-11-06,"Win A","Alert",3,"None"
1957-01-01,"JOR","ISR",1959-01-22,"Ongoing","Clash",4,"None"
1957-01-01,"JOR","ISR",1959-01-22,"Ongoing","Clash",4,"None"
1957-01-01,"JOR","ISR",1959-01-22,"Statlemate","Clash",4,"26-100"
1957-01-12,"SAU","ISR",1957-11-07,"Statlemate","Raid",4,"None"
1957-04-03,"ISR","EGY",1961-04-28,"Ongoing","Raid",4,"None"
1957-04-03,"ISR","EGY",1961-04-28,"Ongoing","Raid",4,"None"
1957-04-03,"ISR","EGY",1961-04-28,"Ongoing","Raid",4,"None"
1957-04-03,"ISR","EGY",1961-04-28,"Ongoing","Raid",4,"None"
1957-04-03,"ISR","EGY",1961-04-28,"Statlemate","Raid",4,"101-250"
1957-04-13,"SYR","JOR",1957-11-19,"Statlemate","Clash",4,"26-100"
1957-04-17,"SYR","IRQ",1957-05-26,"Statlemate","Clash",4,"26-100"
1957-04-25,"RUS","USA",1957-11-19,"Statlemate","Show of Ships",3,"None"
1957-04-25,"SYR","USA",1957-11-19,"Statlemate","Show of Ships",3,"None"
1957-09-13,"RUS","TUR",1957-11-19,"Statlemate","Show of Ships",3,"None"
1957-09-13,"RUS","JOR",1957-11-19,"Statlemate","Show of Ships",3,"None"
1957-10-13,"EGY","USA",1957-11-19,"Statlemate","Show of Ships",3,"None"
1957-10-13,"EGY","TUR",1957-11-19,"Statlemate","Clash",4,"26-100"
