"date","actor1","actor2","contiguity"
1816-07-26,"BOL","BRA",1
1816-07-26,"BOL","PAR",1
1816-07-26,"BOL","CHL",1
1816-07-26,"BOL","ARG",1
1816-07-26,"PAR","BRA",1
1816-07-26,"PAR","BOL",1
1816-07-26,"PAR","ARG",1
1816-07-26,"CHL","PER",1
1816-07-26,"CHL","BOL",1
1816-07-26,"CHL","ARG",1
1816-07-26,"ARG","BRA",1
1816-07-26,"ARG","BOL",1
1816-07-26,"ARG","PAR",1
1816-07-26,"ARG","CHL",1
1816-07-26,"ARG","URU",1
1816-07-26,"URU","BRA",1
1816-07-26,"URU","ARG",1
1816-07-26,"UKG","IRE",1
1816-07-26,"IRE","UKG",1
1816-07-26,"NTH","BEL",1
1816-07-26,"NTH","FRN",1
1816-07-26,"NTH","HAN",1
1816-07-26,"NTH","GMY",1
1816-07-26,"NTH","GFR",1
1816-07-26,"BEL","NTH",1
1816-07-26,"BEL","LUX",1
1816-07-26,"BEL","FRN",1
1816-07-26,"BEL","GMY",1
1816-07-26,"BEL","GFR",1
1816-07-26,"LUX","BEL",1
1816-07-26,"LUX","FRN",1
1816-07-26,"LUX","GMY",1
1816-07-26,"LUX","GFR",1
1816-07-26,"FRN","NTH",1
1816-07-26,"FRN","BEL",1
1816-07-26,"FRN","LUX",1
1816-07-26,"FRN","MNC",1
1816-07-26,"FRN","SWZ",1
1816-07-26,"FRN","SPN",1
1816-07-26,"FRN","AND",1
1816-07-26,"FRN","BAV",1
1816-07-26,"FRN","GMY",1
1816-07-26,"FRN","GFR",1
1816-07-26,"FRN","BAD",1
1816-07-26,"FRN","ITA",1
1816-07-26,"MNC","FRN",1
1816-07-26,"LIE","SWZ",1
1816-07-26,"LIE","AUS",1
1816-07-26,"SWZ","FRN",1
1816-07-26,"SWZ","LIE",1
1816-07-26,"SWZ","GMY",1
1816-07-26,"SWZ","GFR",1
1816-07-26,"SWZ","BAD",1
1816-07-26,"SWZ","AUH",1
1816-07-26,"SWZ","AUS",1
1816-07-26,"SWZ","ITA",1
1816-07-26,"SPN","FRN",1
1816-07-26,"SPN","AND",1
1816-07-26,"SPN","POR",1
1816-07-26,"SPN","MOR",1
1816-07-26,"AND","FRN",1
1816-07-26,"AND","SPN",1
1816-07-26,"POR","SPN",1
1816-07-26,"HAN","NTH",1
1816-07-26,"HAN","GMY",1
1816-07-26,"HAN","HSE",1
1816-07-26,"HAN","MEC",1
1816-07-26,"BAV","FRN",1
1816-07-26,"BAV","GMY",1
1816-07-26,"BAV","BAD",1
1816-07-26,"BAV","SAX",1
1816-07-26,"BAV","WRT",1
1816-07-26,"BAV","HSE",1
1816-07-26,"BAV","HSG",1
1816-07-26,"BAV","AUH",1
1816-07-26,"GMY","NTH",1
1816-07-26,"GMY","BEL",1
1816-07-26,"GMY","LUX",1
1816-07-26,"GMY","FRN",1
1816-07-26,"GMY","SWZ",1
1816-07-26,"GMY","HAN",1
1816-07-26,"GMY","BAV",1
1816-07-26,"GMY","BAD",1
1816-07-26,"GMY","SAX",1
1816-07-26,"GMY","WRT",1
1816-07-26,"GMY","HSE",1
1816-07-26,"GMY","HSG",1
1816-07-26,"GMY","MEC",1
1816-07-26,"GMY","POL",1
1816-07-26,"GMY","AUH",1
1816-07-26,"GMY","AUS",1
1816-07-26,"GMY","HUN",1
1816-07-26,"GMY","CZE",1
1816-07-26,"GMY","CZR",1
1816-07-26,"GMY","ITA",1
1816-07-26,"GMY","YUG",1
1816-07-26,"GMY","RUS",1
1816-07-26,"GMY","LIT",1
1816-07-26,"GMY","DEN",1
1816-07-26,"GFR","NTH",1
1816-07-26,"GFR","BEL",1
1816-07-26,"GFR","LUX",1
1816-07-26,"GFR","FRN",1
1816-07-26,"GFR","SWZ",1
1816-07-26,"GFR","GDR",1
1816-07-26,"GFR","AUS",1
1816-07-26,"GFR","CZE",1
1816-07-26,"GFR","DEN",1
1816-07-26,"GDR","GFR",1
1816-07-26,"GDR","POL",1
1816-07-26,"GDR","CZE",1
1816-07-26,"BAD","FRN",1
1816-07-26,"BAD","SWZ",1
1816-07-26,"BAD","BAV",1
1816-07-26,"BAD","GMY",1
1816-07-26,"BAD","WRT",1
1816-07-26,"BAD","HSG",1
1816-07-26,"SAX","BAV",1
1816-07-26,"SAX","GMY",1
1816-07-26,"SAX","AUH",1
1816-07-26,"WRT","BAV",1
1816-07-26,"WRT","GMY",1
1816-07-26,"WRT","BAD",1
1816-07-26,"HSE","HAN",1
1816-07-26,"HSE","BAV",1
1816-07-26,"HSE","GMY",1
1816-07-26,"HSE","HSG",1
1816-07-26,"HSG","BAV",1
1816-07-26,"HSG","GMY",1
1816-07-26,"HSG","BAD",1
1816-07-26,"HSG","HSE",1
1816-07-26,"MEC","HAN",1
1816-07-26,"MEC","GMY",1
1816-07-26,"POL","GMY",1
1816-07-26,"POL","GDR",1
1816-07-26,"POL","CZE",1
1816-07-26,"POL","CZR",1
1816-07-26,"POL","SLO",1
1816-07-26,"POL","ROM",1
1816-07-26,"POL","RUS",1
1816-07-26,"POL","LAT",1
1816-07-26,"POL","LIT",1
1816-07-26,"POL","UKR",1
1816-07-26,"POL","BLR",1
1816-07-26,"AUH","SWZ",1
1816-07-26,"AUH","BAV",1
1816-07-26,"AUH","GMY",1
1816-07-26,"AUH","SAX",1
1816-07-26,"AUH","ITA",1
1816-07-26,"AUH","PAP",1
1816-07-26,"AUH","MOD",1
1816-07-26,"AUH","PMA",1
1816-07-26,"AUH","YUG",1
1816-07-26,"AUH","ROM",1
1816-07-26,"AUH","RUS",1
1816-07-26,"AUH","TUR",1
1816-07-26,"AUS","LIE",1
1816-07-26,"AUS","SWZ",1
1816-07-26,"AUS","GMY",1
1816-07-26,"AUS","GFR",1
1816-07-26,"AUS","HUN",1
1816-07-26,"AUS","CZE",1
1816-07-26,"AUS","CZR",1
1816-07-26,"AUS","SLO",1
1816-07-26,"AUS","ITA",1
1816-07-26,"AUS","YUG",1
1816-07-26,"AUS","SLV",1
1816-07-26,"HUN","GMY",1
1816-07-26,"HUN","AUS",1
1816-07-26,"HUN","CZE",1
1816-07-26,"HUN","SLO",1
1816-07-26,"HUN","CRO",1
1816-07-26,"HUN","YUG",1
1816-07-26,"HUN","SLV",1
1816-07-26,"HUN","ROM",1
1816-07-26,"HUN","RUS",1
1816-07-26,"HUN","UKR",1
1816-07-26,"CZE","GMY",1
1816-07-26,"CZE","GFR",1
1816-07-26,"CZE","GDR",1
1816-07-26,"CZE","POL",1
1816-07-26,"CZE","AUS",1
1816-07-26,"CZE","HUN",1
1816-07-26,"CZE","ROM",1
1816-07-26,"CZE","RUS",1
1816-07-26,"CZE","UKR",1
1816-07-26,"CZR","GMY",1
1816-07-26,"CZR","POL",1
1816-07-26,"CZR","AUS",1
1816-07-26,"CZR","SLO",1
1816-07-26,"SLO","POL",1
1816-07-26,"SLO","AUS",1
1816-07-26,"SLO","HUN",1
1816-07-26,"SLO","CZR",1
1816-07-26,"SLO","UKR",1
1816-07-26,"ITA","FRN",1
1816-07-26,"ITA","SWZ",1
1816-07-26,"ITA","GMY",1
1816-07-26,"ITA","AUH",1
1816-07-26,"ITA","AUS",1
1816-07-26,"ITA","SIC",1
1816-07-26,"ITA","SNM",1
1816-07-26,"ITA","MOD",1
1816-07-26,"ITA","PMA",1
1816-07-26,"ITA","YUG",1
1816-07-26,"ITA","SLV",1
1816-07-26,"PAP","AUH",1
1816-07-26,"PAP","SIC",1
1816-07-26,"PAP","MOD",1
1816-07-26,"PAP","TUS",1
1816-07-26,"SIC","ITA",1
1816-07-26,"SIC","PAP",1
1816-07-26,"SNM","ITA",1
1816-07-26,"MOD","AUH",1
1816-07-26,"MOD","ITA",1
1816-07-26,"MOD","PAP",1
1816-07-26,"MOD","PMA",1
1816-07-26,"MOD","TUS",1
1816-07-26,"PMA","AUH",1
1816-07-26,"PMA","ITA",1
1816-07-26,"PMA","MOD",1
1816-07-26,"TUS","PAP",1
1816-07-26,"TUS","MOD",1
1816-07-26,"ALB","MNG",1
1816-07-26,"ALB","MAC",1
1816-07-26,"ALB","YUG",1
1816-07-26,"ALB","KOS",1
1816-07-26,"ALB","GRC",1
1816-07-26,"MNG","ALB",1
1816-07-26,"MNG","CRO",1
1816-07-26,"MNG","YUG",1
1816-07-26,"MNG","BOS",1
1816-07-26,"MNG","KOS",1
1816-07-26,"MAC","ALB",1
1816-07-26,"MAC","YUG",1
1816-07-26,"MAC","KOS",1
1816-07-26,"MAC","GRC",1
1816-07-26,"MAC","BUL",1
1816-07-26,"CRO","HUN",1
1816-07-26,"CRO","MNG",1
1816-07-26,"CRO","YUG",1
1816-07-26,"CRO","BOS",1
1816-07-26,"CRO","SLV",1
1816-07-26,"YUG","GMY",1
1816-07-26,"YUG","AUH",1
1816-07-26,"YUG","AUS",1
1816-07-26,"YUG","HUN",1
1816-07-26,"YUG","ITA",1
1816-07-26,"YUG","ALB",1
1816-07-26,"YUG","MNG",1
1816-07-26,"YUG","MAC",1
1816-07-26,"YUG","CRO",1
1816-07-26,"YUG","BOS",1
1816-07-26,"YUG","KOS",1
1816-07-26,"YUG","GRC",1
1816-07-26,"YUG","BUL",1
1816-07-26,"YUG","ROM",1
1816-07-26,"YUG","TUR",1
1816-07-26,"BOS","MNG",1
1816-07-26,"BOS","CRO",1
1816-07-26,"BOS","YUG",1
1816-07-26,"KOS","ALB",1
1816-07-26,"KOS","MNG",1
1816-07-26,"KOS","MAC",1
1816-07-26,"KOS","YUG",1
1816-07-26,"SLV","AUS",1
1816-07-26,"SLV","HUN",1
1816-07-26,"SLV","ITA",1
1816-07-26,"SLV","CRO",1
1816-07-26,"GRC","ALB",1
1816-07-26,"GRC","MAC",1
1816-07-26,"GRC","YUG",1
1816-07-26,"GRC","BUL",1
1816-07-26,"GRC","TUR",1
1816-07-26,"CYP","TUR",1
1816-07-26,"BUL","MAC",1
1816-07-26,"BUL","YUG",1
1816-07-26,"BUL","GRC",1
1816-07-26,"BUL","ROM",1
1816-07-26,"BUL","TUR",1
1816-07-26,"MLD","ROM",1
1816-07-26,"MLD","UKR",1
1816-07-26,"ROM","POL",1
1816-07-26,"ROM","AUH",1
1816-07-26,"ROM","HUN",1
1816-07-26,"ROM","CZE",1
1816-07-26,"ROM","YUG",1
1816-07-26,"ROM","BUL",1
1816-07-26,"ROM","MLD",1
1816-07-26,"ROM","RUS",1
1816-07-26,"ROM","UKR",1
1816-07-26,"ROM","TUR",1
1816-07-26,"RUS","GMY",1
1816-07-26,"RUS","POL",1
1816-07-26,"RUS","AUH",1
1816-07-26,"RUS","HUN",1
1816-07-26,"RUS","CZE",1
1816-07-26,"RUS","ROM",1
1816-07-26,"RUS","EST",1
1816-07-26,"RUS","LAT",1
1816-07-26,"RUS","LIT",1
1816-07-26,"RUS","UKR",1
1816-07-26,"RUS","BLR",1
1816-07-26,"RUS","GRG",1
1816-07-26,"RUS","AZE",1
1816-07-26,"RUS","FIN",1
1816-07-26,"RUS","SWD",1
1816-07-26,"RUS","NOR",1
1816-07-26,"RUS","IRN",1
1816-07-26,"RUS","TUR",1
1816-07-26,"RUS","AFG",1
1816-07-26,"RUS","KZK",1
1816-07-26,"RUS","CHN",1
1816-07-26,"RUS","MON",1
1816-07-26,"RUS","KOR",1
1816-07-26,"RUS","PRK",1
1816-07-26,"EST","RUS",1
1816-07-26,"EST","LAT",1
1816-07-26,"LAT","POL",1
1816-07-26,"LAT","RUS",1
1816-07-26,"LAT","EST",1
1816-07-26,"LAT","LIT",1
1816-07-26,"LAT","BLR",1
1816-07-26,"LIT","GMY",1
1816-07-26,"LIT","POL",1
1816-07-26,"LIT","RUS",1
1816-07-26,"LIT","LAT",1
1816-07-26,"LIT","BLR",1
1816-07-26,"UKR","POL",1
1816-07-26,"UKR","HUN",1
1816-07-26,"UKR","CZE",1
1816-07-26,"UKR","SLO",1
1816-07-26,"UKR","MLD",1
1816-07-26,"UKR","ROM",1
1816-07-26,"UKR","RUS",1
1816-07-26,"UKR","BLR",1
1816-07-26,"BLR","POL",1
1816-07-26,"BLR","RUS",1
1816-07-26,"BLR","LAT",1
1816-07-26,"BLR","LIT",1
1816-07-26,"BLR","UKR",1
1816-07-26,"ARM","GRG",1
1816-07-26,"ARM","AZE",1
1816-07-26,"ARM","IRN",1
1816-07-26,"ARM","TUR",1
1816-07-26,"GRG","RUS",1
1816-07-26,"GRG","ARM",1
1816-07-26,"GRG","AZE",1
1816-07-26,"GRG","TUR",1
1816-07-26,"AZE","RUS",1
1816-07-26,"AZE","ARM",1
1816-07-26,"AZE","GRG",1
1816-07-26,"AZE","IRN",1
1816-07-26,"AZE","TUR",1
1816-07-26,"FIN","RUS",1
1816-07-26,"FIN","SWD",1
1816-07-26,"FIN","NOR",1
1816-07-26,"SWD","RUS",1
1816-07-26,"SWD","FIN",1
1816-07-26,"SWD","NOR",1
1816-07-26,"SWD","DEN",1
1816-07-26,"NOR","RUS",1
1816-07-26,"NOR","FIN",1
1816-07-26,"NOR","SWD",1
1816-07-26,"DEN","GMY",1
1816-07-26,"DEN","GFR",1
1816-07-26,"DEN","SWD",1
1816-07-26,"GNB","SEN",1
1816-07-26,"GNB","GUI",1
1816-07-26,"EQG","CAO",1
1816-07-26,"EQG","GAB",1
1816-07-26,"GAM","SEN",1
1816-07-26,"MLI","SEN",1
1816-07-26,"MLI","MAA",1
1816-07-26,"MLI","NIR",1
1816-07-26,"MLI","CDI",1
1816-07-26,"MLI","GUI",1
1816-07-26,"MLI","BFO",1
1816-07-26,"MLI","ALG",1
1816-07-26,"SEN","GNB",1
1816-07-26,"SEN","GAM",1
1816-07-26,"SEN","MLI",1
1816-07-26,"SEN","MAA",1
1816-07-26,"SEN","GUI",1
1816-07-26,"BEN","NIR",1
1816-07-26,"BEN","BFO",1
1816-07-26,"BEN","TOG",1
1816-07-26,"BEN","NIG",1
1816-07-26,"MAA","MLI",1
1816-07-26,"MAA","SEN",1
1816-07-26,"MAA","MOR",1
1816-07-26,"MAA","ALG",1
1816-07-26,"NIR","MLI",1
1816-07-26,"NIR","BEN",1
1816-07-26,"NIR","BFO",1
1816-07-26,"NIR","NIG",1
1816-07-26,"NIR","CHA",1
1816-07-26,"NIR","ALG",1
1816-07-26,"NIR","LIB",1
1816-07-26,"CDI","MLI",1
1816-07-26,"CDI","GUI",1
1816-07-26,"CDI","BFO",1
1816-07-26,"CDI","LBR",1
1816-07-26,"CDI","GHA",1
1816-07-26,"GUI","GNB",1
1816-07-26,"GUI","MLI",1
1816-07-26,"GUI","SEN",1
1816-07-26,"GUI","CDI",1
1816-07-26,"GUI","LBR",1
1816-07-26,"GUI","SIE",1
1816-07-26,"BFO","MLI",1
1816-07-26,"BFO","BEN",1
1816-07-26,"BFO","NIR",1
1816-07-26,"BFO","CDI",1
1816-07-26,"BFO","GHA",1
1816-07-26,"BFO","TOG",1
1816-07-26,"LBR","CDI",1
1816-07-26,"LBR","GUI",1
1816-07-26,"LBR","SIE",1
1816-07-26,"SIE","GUI",1
1816-07-26,"SIE","LBR",1
1816-07-26,"GHA","CDI",1
1816-07-26,"GHA","BFO",1
1816-07-26,"GHA","TOG",1
1816-07-26,"TOG","BEN",1
1816-07-26,"TOG","BFO",1
1816-07-26,"TOG","GHA",1
1816-07-26,"CAO","EQG",1
1816-07-26,"CAO","NIG",1
1816-07-26,"CAO","GAB",1
1816-07-26,"CAO","CEN",1
1816-07-26,"CAO","CHA",1
1816-07-26,"CAO","CON",1
1816-07-26,"NIG","BEN",1
1816-07-26,"NIG","NIR",1
1816-07-26,"NIG","CAO",1
1816-07-26,"GAB","EQG",1
1816-07-26,"GAB","CAO",1
1816-07-26,"GAB","CON",1
1816-07-26,"CEN","CAO",1
1816-07-26,"CEN","CHA",1
1816-07-26,"CEN","CON",1
1816-07-26,"CEN","DRC",1
1816-07-26,"CEN","SUD",1
1816-07-26,"CEN","SSD",1
1816-07-26,"CHA","NIR",1
1816-07-26,"CHA","CAO",1
1816-07-26,"CHA","CEN",1
1816-07-26,"CHA","LIB",1
1816-07-26,"CHA","SUD",1
1816-07-26,"CON","CAO",1
1816-07-26,"CON","GAB",1
1816-07-26,"CON","CEN",1
1816-07-26,"CON","DRC",1
1816-07-26,"CON","ANG",1
1816-07-26,"DRC","CEN",1
1816-07-26,"DRC","CON",1
1816-07-26,"DRC","UGA",1
1816-07-26,"DRC","BUI",1
1816-07-26,"DRC","RWA",1
1816-07-26,"DRC","ANG",1
1816-07-26,"DRC","ZAM",1
1816-07-26,"DRC","SUD",1
1816-07-26,"DRC","SSD",1
1816-07-26,"UGA","DRC",1
1816-07-26,"UGA","KEN",1
1816-07-26,"UGA","TAZ",1
1816-07-26,"UGA","RWA",1
1816-07-26,"UGA","SUD",1
1816-07-26,"UGA","SSD",1
1816-07-26,"KEN","UGA",1
1816-07-26,"KEN","TAZ",1
1816-07-26,"KEN","SOM",1
1816-07-26,"KEN","ETH",1
1816-07-26,"KEN","SUD",1
1816-07-26,"KEN","SSD",1
1816-07-26,"TAZ","UGA",1
1816-07-26,"TAZ","KEN",1
1816-07-26,"TAZ","BUI",1
1816-07-26,"TAZ","RWA",1
1816-07-26,"TAZ","MZM",1
1816-07-26,"TAZ","ZAM",1
1816-07-26,"TAZ","MAW",1
1816-07-26,"BUI","DRC",1
1816-07-26,"BUI","TAZ",1
1816-07-26,"BUI","RWA",1
1816-07-26,"RWA","DRC",1
1816-07-26,"RWA","UGA",1
1816-07-26,"RWA","TAZ",1
1816-07-26,"RWA","BUI",1
1816-07-26,"SOM","KEN",1
1816-07-26,"SOM","DJI",1
1816-07-26,"SOM","ETH",1
1816-07-26,"DJI","SOM",1
1816-07-26,"DJI","ETH",1
1816-07-26,"DJI","ERI",1
1816-07-26,"ETH","KEN",1
1816-07-26,"ETH","SOM",1
1816-07-26,"ETH","DJI",1
1816-07-26,"ETH","ERI",1
1816-07-26,"ETH","SUD",1
1816-07-26,"ETH","SSD",1
1816-07-26,"ERI","DJI",1
1816-07-26,"ERI","ETH",1
1816-07-26,"ERI","SUD",1
1816-07-26,"ANG","CON",1
1816-07-26,"ANG","DRC",1
1816-07-26,"ANG","ZAM",1
1816-07-26,"ANG","NAM",1
1816-07-26,"MZM","TAZ",1
1816-07-26,"MZM","ZAM",1
1816-07-26,"MZM","ZIM",1
1816-07-26,"MZM","MAW",1
1816-07-26,"MZM","SAF",1
1816-07-26,"MZM","SWA",1
1816-07-26,"ZAM","DRC",1
1816-07-26,"ZAM","TAZ",1
1816-07-26,"ZAM","ANG",1
1816-07-26,"ZAM","MZM",1
1816-07-26,"ZAM","ZIM",1
1816-07-26,"ZAM","MAW",1
1816-07-26,"ZAM","NAM",1
1816-07-26,"ZAM","BOT",1
1816-07-26,"ZIM","MZM",1
1816-07-26,"ZIM","ZAM",1
1816-07-26,"ZIM","SAF",1
1816-07-26,"ZIM","BOT",1
1816-07-26,"MAW","TAZ",1
1816-07-26,"MAW","MZM",1
1816-07-26,"MAW","ZAM",1
1816-07-26,"SAF","MZM",1
1816-07-26,"SAF","ZIM",1
1816-07-26,"SAF","NAM",1
1816-07-26,"SAF","LES",1
1816-07-26,"SAF","BOT",1
1816-07-26,"SAF","SWA",1
1816-07-26,"NAM","ANG",1
1816-07-26,"NAM","ZAM",1
1816-07-26,"NAM","SAF",1
1816-07-26,"NAM","BOT",1
1816-07-26,"LES","SAF",1
1816-07-26,"BOT","ZAM",1
1816-07-26,"BOT","ZIM",1
1816-07-26,"BOT","SAF",1
1816-07-26,"BOT","NAM",1
1816-07-26,"SWA","MZM",1
1816-07-26,"SWA","SAF",1
1816-07-26,"MOR","SPN",1
1816-07-26,"MOR","MAA",1
1816-07-26,"MOR","ALG",1
1816-07-26,"ALG","MLI",1
1816-07-26,"ALG","MAA",1
1816-07-26,"ALG","NIR",1
1816-07-26,"ALG","MOR",1
1816-07-26,"ALG","TUN",1
1816-07-26,"ALG","LIB",1
1816-07-26,"TUN","ALG",1
1816-07-26,"TUN","LIB",1
1816-07-26,"TUN","TUR",1
1816-07-26,"LIB","NIR",1
1816-07-26,"LIB","CHA",1
1816-07-26,"LIB","ALG",1
1816-07-26,"LIB","TUN",1
1816-07-26,"LIB","SUD",1
1816-07-26,"LIB","EGY",1
1816-07-26,"SUD","CEN",1
1816-07-26,"SUD","CHA",1
1816-07-26,"SUD","DRC",1
1816-07-26,"SUD","UGA",1
1816-07-26,"SUD","KEN",1
1816-07-26,"SUD","ETH",1
1816-07-26,"SUD","ERI",1
1816-07-26,"SUD","LIB",1
1816-07-26,"SUD","SSD",1
1816-07-26,"SUD","EGY",1
1816-07-26,"SSD","CEN",1
1816-07-26,"SSD","DRC",1
1816-07-26,"SSD","UGA",1
1816-07-26,"SSD","KEN",1
1816-07-26,"SSD","ETH",1
1816-07-26,"SSD","SUD",1
1816-07-26,"IRN","RUS",1
1816-07-26,"IRN","ARM",1
1816-07-26,"IRN","AZE",1
1816-07-26,"IRN","TUR",1
1816-07-26,"IRN","IRQ",1
1816-07-26,"IRN","AFG",1
1816-07-26,"IRN","TKM",1
1816-07-26,"IRN","PAK",1
1816-07-26,"TUR","AUH",1
1816-07-26,"TUR","YUG",1
1816-07-26,"TUR","GRC",1
1816-07-26,"TUR","CYP",1
1816-07-26,"TUR","BUL",1
1816-07-26,"TUR","ROM",1
1816-07-26,"TUR","RUS",1
1816-07-26,"TUR","ARM",1
1816-07-26,"TUR","GRG",1
1816-07-26,"TUR","AZE",1
1816-07-26,"TUR","TUN",1
1816-07-26,"TUR","IRN",1
1816-07-26,"TUR","IRQ",1
1816-07-26,"TUR","EGY",1
1816-07-26,"TUR","SYR",1
1816-07-26,"IRQ","IRN",1
1816-07-26,"IRQ","TUR",1
1816-07-26,"IRQ","EGY",1
1816-07-26,"IRQ","SYR",1
1816-07-26,"IRQ","JOR",1
1816-07-26,"IRQ","SAU",1
1816-07-26,"IRQ","KUW",1
1816-07-26,"EGY","LIB",1
1816-07-26,"EGY","SUD",1
1816-07-26,"EGY","TUR",1
1816-07-26,"EGY","IRQ",1
1816-07-26,"EGY","LEB",1
1816-07-26,"EGY","JOR",1
1816-07-26,"EGY","ISR",1
1816-07-26,"SYR","TUR",1
1816-07-26,"SYR","IRQ",1
1816-07-26,"SYR","LEB",1
1816-07-26,"SYR","JOR",1
1816-07-26,"SYR","ISR",1
1816-07-26,"LEB","EGY",1
1816-07-26,"LEB","SYR",1
1816-07-26,"LEB","ISR",1
1816-07-26,"JOR","IRQ",1
1816-07-26,"JOR","EGY",1
1816-07-26,"JOR","SYR",1
1816-07-26,"JOR","ISR",1
1816-07-26,"JOR","SAU",1
1816-07-26,"ISR","EGY",1
1816-07-26,"ISR","SYR",1
1816-07-26,"ISR","LEB",1
1816-07-26,"ISR","JOR",1
1816-07-26,"SAU","IRQ",1
1816-07-26,"SAU","JOR",1
1816-07-26,"SAU","YAR",1
1816-07-26,"SAU","YEM",1
1816-07-26,"SAU","YPR",1
1816-07-26,"SAU","KUW",1
1816-07-26,"SAU","BAH",1
1816-07-26,"SAU","QAT",1
1816-07-26,"SAU","UAE",1
1816-07-26,"SAU","OMA",1
1816-07-26,"YAR","SAU",1
1816-07-26,"YAR","YPR",1
1816-07-26,"YEM","SAU",1
1816-07-26,"YEM","OMA",1
1816-07-26,"YPR","SAU",1
1816-07-26,"YPR","YAR",1
1816-07-26,"YPR","OMA",1
1816-07-26,"KUW","IRQ",1
1816-07-26,"KUW","SAU",1
1816-07-26,"BAH","SAU",1
1816-07-26,"QAT","SAU",1
1816-07-26,"QAT","UAE",1
1816-07-26,"UAE","SAU",1
1816-07-26,"UAE","QAT",1
1816-07-26,"UAE","OMA",1
1816-07-26,"OMA","SAU",1
1816-07-26,"OMA","YEM",1
1816-07-26,"OMA","YPR",1
1816-07-26,"OMA","UAE",1
1816-07-26,"AFG","RUS",1
1816-07-26,"AFG","IRN",1
1816-07-26,"AFG","TKM",1
1816-07-26,"AFG","TAJ",1
1816-07-26,"AFG","UZB",1
1816-07-26,"AFG","CHN",1
1816-07-26,"AFG","PAK",1
1816-07-26,"TKM","IRN",1
1816-07-26,"TKM","AFG",1
1816-07-26,"TKM","UZB",1
1816-07-26,"TKM","KZK",1
1816-07-26,"TAJ","AFG",1
1816-07-26,"TAJ","KYR",1
1816-07-26,"TAJ","UZB",1
1816-07-26,"TAJ","CHN",1
1816-07-26,"KYR","TAJ",1
1816-07-26,"KYR","UZB",1
1816-07-26,"KYR","KZK",1
1816-07-26,"KYR","CHN",1
1816-07-26,"UZB","AFG",1
1816-07-26,"UZB","TKM",1
1816-07-26,"UZB","TAJ",1
1816-07-26,"UZB","KYR",1
1816-07-26,"UZB","KZK",1
1816-07-26,"KZK","RUS",1
1816-07-26,"KZK","TKM",1
1816-07-26,"KZK","KYR",1
1816-07-26,"KZK","UZB",1
1816-07-26,"KZK","CHN",1
1816-07-26,"CHN","RUS",1
1816-07-26,"CHN","AFG",1
1816-07-26,"CHN","TAJ",1
1816-07-26,"CHN","KYR",1
1816-07-26,"CHN","KZK",1
1816-07-26,"CHN","MON",1
1816-07-26,"CHN","KOR",1
1816-07-26,"CHN","PRK",1
1816-07-26,"CHN","IND",1
1816-07-26,"CHN","BHU",1
1816-07-26,"CHN","PAK",1
1816-07-26,"CHN","MYA",1
1816-07-26,"CHN","NEP",1
1816-07-26,"CHN","LAO",1
1816-07-26,"CHN","DRV",1
1816-07-26,"MON","RUS",1
1816-07-26,"MON","CHN",1
1816-07-26,"KOR","RUS",1
1816-07-26,"KOR","CHN",1
1816-07-26,"PRK","RUS",1
1816-07-26,"PRK","CHN",1
1816-07-26,"PRK","ROK",1
1816-07-26,"ROK","PRK",1
1816-07-26,"IND","CHN",1
1816-07-26,"IND","BHU",1
1816-07-26,"IND","PAK",1
