"date","sender_id","receiver_id","sender","receiver","year","class","contrition","symbolic","desc"
2000-06-25,"Montenegro_gov","Croatia_gov","Montenegro","Croatia",2000,"international","3_apology",FALSE,"Montenegro President Milo Djukanovic asks Croatia to forgive his countrymen for shelling Dubrovnik during the Croatian struggle for independence in 1991."
2000-11-04,"Finland_gov","Finland_min","Finland","Jewish community",2000,"domestic","3_apology",FALSE,"Finnish Prime Minister Paavo Lipponenapologized to the Jewish community for the extradition of eight Jews to Germany in 1942."
2000-12-07,"Norway_gov","Norway_min","Norway","Roma",2000,"domestic","3_apology",FALSE,"The Norwegian government apologized to its Roma minority for decades of oppression and suffering. "
2001-01-01,"Japan_gov","comfort_women","Japan","comfort_women",2001,"multilateral","3_apology",FALSE,"Japanese Prime Minister Junichiro Koizumi offers apologies and expressed remorse to former ""comfort women""."
2001-01-11,"United States_gov","South Korea_gov","United States","South Korea",2001,"international","2_regret",FALSE,"U.S. President Bill Clinton expressed regret for 'loss of lives' at No Gun Ri, where as many as 248 civilians were killed by US soldiers"
2001-03-30,"Burkina Faso_gov","Burkina Faso_min","Burkina Faso","Burkina Faso",2001,"domestic","3_apology",FALSE,"Burkina Faso President Blaise Compaor apologized for crimes committed by the state from the 1960s onward"
2001-04-03,"Japan_gov","wwii_asia_victims","Japan","wwii_asia_victims",2001,"multilateral","3_apology",FALSE,"Japanese Chief Cabinet Secretary Yasuo Fukuda expressed  deep remorse and heartfelt apology for the suffering caused by Japan through ""its colonial rule and aggression"""
2001-05-25,"Japan_gov","Japan_min","Japan","Japan",2001,"domestic","3_apology",FALSE,"Japan apologized for forcing lepers to live in isolation decades after cures were available"
2001-07-10,"Poland_gov","Poland_min","Poland","Poland",2001,"domestic","3_apology",FALSE,"Polish President Kwasniewski apologized for the massacre of Polish Jews in Jewabne in 1941."
2001-08-16,"Indonesia_gov","Indonesia_min","Indonesia","Indonesia",2001,"domestic","3_apology",FALSE,"Indonesian President Megawati apologized for human rights abuses committed by past governments in Aceh and Irian Jaya"
2001-08-23,"South Korea_gov","Vietnam_gov","South Korea","Vietnam",2001,"international","3_apology",FALSE,"South Korean President Kim Dae-jung apologized for KoreaÕs participation in the Vietnam war."
