"date","sender_id","receiver_id","sender","receiver","year","class","contrition","symbolic","desc"
2010-08-18,"Canada_gov","United States_gov","Canada","United States",2010,"international","3_apology",FALSE,"The Canadian government apologized for relocating Inuit families to the High Arctic in the 1950s."
2010-09-13,"Japan_gov","United States_gov","Japan","United States",2010,"international","3_apology",FALSE,"At a visit by survivors, JapanÕs foreign minister offered a Òdeep, heartfelt apology for the inhuman treatmentÓ of U.S. POWs during World War II.Ê"
2010-10-01,"United States_gov","Guatemala_gov","United States","Guatemala",2010,"international","3_apology",FALSE,"U.S. President Barack Obama apologized for a 1946-1948 research study in which people in Guatemala were intentionally infected with sexually transmitted diseases. "
2010-10-01,"United States_gov","Guatemala_gov","United States","Guatemala",2010,"international","3_apology",FALSE,"U.S. Secretary of State Hillary Rodham Clinton and Secretary of Health and Human Services Kathleen Sebelius apologized for the U.S. Public Health Service Sexually Transmitted Disease Inoculation Study of 1946-1948"
2010-11-04,"Serbia_gov","Croatia_gov","Serbia","Croatia",2010,"international","3_apology",FALSE,"Serb president Boris Tadic apologized for the crimes committed by Serb forces in Vukovar 1991"
2010-11-26,"Russia_gov","Poland_gov","Russia","Poland",2010,"international","2_regret",FALSE,"The Russian Duma expressed sorrow for the Òterrible tragedyÓ of the Katyn massacre of 22,000 Polish officers in 1940.Ê "
2011-02-06,"Brazil_gov","slavery_victims","Brazil","slavery_victims",2011,"multilateral","3_apology",FALSE,"Brazil's Secretary General of the Presidency, Gilberto Carvalho,  apologized for Brazil's role in slavery in a speech at the opening of the World Social Forum  in Dakar, Senegal."
2011-03-03,"Japan_gov","Australia_gov","Japan","Australia",2011,"international","3_apology",FALSE,"Japanese Foreign Minister Seiji Maehara apologized to Australian POWs for the ill-treatment they received while in Imperial Japanese captivity."
2011-07-08,"Colombia_gov","Colombia_min","Colombia","Colombia",2011,"domestic","3_apology",FALSE,"Colombian President Juan Manuel Santos asked for forgiveness in the name of the state from the people of El Salado for the massacres committed by paramilitary between 1997 and 2000."
2011-09-21,"United Kingdom_gov","United Kingdom_min","United Kingdom","United Kingdom",2011,"domestic","3_apology",FALSE,"The British government apologized for Bloody Sunday."
2011-10-06,"United States_gov","United States_min","United States","United States",2011,"domestic","2_regret",FALSE,"The U.S. Senate expressed regret for the passage of discriminatory laws against the Chinese in America, including the Chinese Exclusion Act"
2011-11-08,"Mexico_gov","Mexico_min","Mexico","Mexico",2011,"domestic","3_apology",FALSE,"The Mexican Undersecretary of the Interior Felipe Zamora apologized on behalf of the Mexican state to the relatives of all the women who were murdered in 2001 for the errors and negligence."
2011-11-23,"Turkey_gov","Turkey_min","Turkey","Kurds",2011,"domestic","3_apology",FALSE,"Turkish Prime Minster Recep Tayyip Erdogan apologized for the killing of 14,000 Kurds in the 1930s."
2011-12-01,"Guatemala_gov","Guatemala_min","Guatemala","Guatemala",2011,"domestic","3_apology",FALSE,"Guatemala President Alvaro Colom apologized for the 1982 massacre in Dos Erres"
2011-12-08,"Japan_gov","Canada_gov","Japan","Canada",2011,"international","3_apology",FALSE,"The Japanese government apologized for the mistreatment of captured Canadian soldiers during World War II."
2011-12-09,"Netherlands_gov","Indonesia_gov","Netherlands","Indonesia",2011,"international","3_apology",FALSE,"The Dutch ambassador to Indonesia, Tjeerd de Zwaan, apologized for the 1947 Rawagede massacre."
2011-12-11,"El Salvador_gov","El Salvador_min","El Salvador","El Salvador",2011,"domestic","3_apology",FALSE,"On behalf of the El Salvador government, foreign minister Hugo Martinez asked for forgiveness to the victims of the El Mozote massacre."
2012-01-16,"El Salvador_gov","El Salvador_min","El Salvador","El Salvador",2012,"domestic","3_apology",FALSE,"On behalf of the El Salvador government, foreign minister Hugo Martinez asked for forgiveness to the victims of the El Mozote massacre."
2012-01-23,"Colombia_gov","Colombia_min","Colombia","Colombia",2012,"domestic","3_apology",FALSE,"Colombian President Juan Manuel Santos apologized to the victims of a paramilitary massacre in the Colombian town of El Tigre"
2012-01-27,"Norway_gov","Norway_min","Norway","Jewish community",2012,"domestic","3_apology",FALSE,"Norway apologized for the countryÕs complicity in the deportation and deaths of Jews during the Nazi occupation in World War Two."
2012-02-15,"Croatia_gov","Israel_gov","Croatia","Israel",2012,"international","3_apology",FALSE,"Croatian President Ivo Josipovi apologized over the role his country played in the crimes committed against Jews during the Second World War, in an address to the Knesset."
2012-03-07,"Taiwan_gov","Taiwan_min","Taiwan","Taiwan",2012,"domestic","3_apology",FALSE,"Taiwan President Ma Ying-jeou apologized to the victims of the February 28th Incident and White Terror
"
2012-04-03,"Togo_gov","Togo_min","Togo","Togo",2012,"domestic","3_apology",FALSE,"Togo's President Faure Gnassingbe on Tuesday begged for pardon from victims of political violence committed in the country between 1958 and 2005"
2012-06-08,"Germany_gov","Czechia_gov","Germany","Czechia",2012,"international","3_apology",FALSE,"German President Gauck apologized for the Nazi massacre of Lidice, Czech Republic."
2012-06-18,"United States_gov","United States_min","United States","United States",2012,"domestic","2_regret",FALSE,"U.S. House expressed regret for discriminatory laws against Chinese Americans"
2012-09-12,"Belgium_gov","holocaust_victims","Belgium","holocaust_victims",2012,"multilateral","3_apology",FALSE,"Belgian Prime Minister Di Rupo apologized for Belgium's role in deportation Jews"
2012-10-12,"Colombia_gov","Colombia_min","Colombia","Colombia",2012,"domestic","3_apology",FALSE,"Colombian President Juan Manuel Santos apologized for deaths and devastation in Amazon rubber boom"
2012-12-15,"Myanmar_gov","Myanmar_min","Myanmar","Myanmar",2012,"domestic","3_apology",FALSE,"Myanmar apologized to monks over copper mine crackdown"
2013-02-19,"Ireland_gov","Ireland_min","Ireland","Ireland",2013,"domestic","3_apology",FALSE,"Irish Prime Minister (Taoiseach) Enda Kenny apologized to the thousands of women who worked without pay in the Magdalene Laundries."
2013-02-20,"United Kingdom_gov","India_gov","United Kingdom","India",2013,"international","2_regret",FALSE,"British Prime Minister David Cameron called the massacre Òa deeply shameful event in British historyÓ"
2013-03-21,"Australia_gov","Australia_min","Australia","Australia",2013,"domestic","3_apology",FALSE,"Australian Prime Minister Julia Gillard apologized for the governmentÕs policy of forcing unwed mothers to give up their babies for adoption by married couples from the 1950s to the 1970s"
2013-03-24,"Germany_gov","Italy_gov","Germany","Italy",2013,"international","3_apology",FALSE,"German President Gauck apologized for the massacre of Sant'Anna di Stazzema in Italy"
2013-04-11,"Switzerland_gov","Switzerland_min","Switzerland","Switzerland",2013,"domestic","3_apology",FALSE,"Switzerland apologized to hundreds of victims of draconian social welfare policies that separated poor and illegitimate children from their families and  led to forced sterilizations."
2013-04-25,"Serbia_gov","Bosnia and Herzegovina_gov","Serbia","Bosnia and Herzegovina",2013,"international","3_apology",FALSE,"Serbian President Tomislav Nikolic apologized for the 1995 Srebrenica massacre and asks for pardon."
2013-06-04,"Turkey_gov","Turkey_min","Turkey","Turkey",2013,"domestic","3_apology",FALSE,"Turkish Deputy Prime Minister Bulent Arinc apologized for a crackdown on demonstrators protesting plans to raze Gezi Park in Istanbul.Ê"
2013-06-06,"United Kingdom_gov","Kenya_gov","United Kingdom","Kenya",2013,"international","2_regret",FALSE,"The British government expressed regret for the abuses that took place during the Emergency Period and Mau Mau insurgency"
2013-07-01,"Netherlands_gov","slavery_victims","Netherlands","slavery_victims",2013,"multilateral","3_apology",FALSE,"Dutch minister of Social Affairs and Employment Lodewijk Asscher apologized for the Dutch role in slavery."
2013-07-15,"Taiwan_gov","Taiwan_min","Taiwan","Taiwan",2013,"domestic","3_apology",FALSE,"Taiwan President Ma Ying-jeou conveyed his condolences and apologized to victims of the White Terror era at a memorial in Taipei City"
2013-08-21,"Germany_gov","holocaust_victims","Germany","holocaust_victims",2013,"multilateral","2_regret",FALSE,"German Chancellor Angela Merkel expressed Òdeep sorrow and shameÓ for the crimes of the Nazi regime during a visit to the Nazi concentration camp at Dachau."
2013-08-21,"Yemen_gov","Yemen_min","Yemen","Yemen",2013,"domestic","3_apology",FALSE,"Yemen's government apologized to southern separatists and northern rebels for wars against them."
2013-09-04,"Germany_gov","France_gov","Germany","France",2013,"international","3_apology",FALSE,"German President Gauck apologized for the Nazi massacre of Oradour, France"
2013-09-12,"Netherlands_gov","Indonesia_gov","Netherlands","Indonesia",2013,"international","3_apology",FALSE,"On behalf of the Dutch government, Ambassador to Indonesia Tjeerd de Zwaan apologized to the widows of men who were summarily executed by Dutch soldiers in South Sulawesi and Rawagedeh."
2013-09-25,"Sweden_gov","Sweden_min","Sweden","Roma",2013,"domestic","3_apology",FALSE,"Swedish Justice Minister Beatrice Ask apologized to the country's Roma community for the registries maintained by the police in Skne in southern Sweden."
2014-01-23,"Hungary_gov","holocaust_victims","Hungary","holocaust_victims",2014,"multilateral","3_apology",FALSE,"Hungarian ambassador apologized for role Hungary in Holocaust"
2014-03-07,"Germany_gov","Greece_gov","Germany","Greece",2014,"international","3_apology",FALSE,"Germany apologized to Greece over a 1943 massacre of civilians"
2014-04-09,"Japan_gov","United States_gov","Japan","United States",2014,"international","3_apology",FALSE,"Japanese Ambassador to the Philippines Toshinao Urabe expressed ""heartfelt apology"" and ""deep remorse"" and vowed ""never to wage war again"" at the Day of Valor ceremony in Bataan."
2014-04-23,"Turkey_gov","Armenia_gov","Turkey","Armenia",2014,"international","2_regret",FALSE,"Turkish Prime Minister Erdogan offered condolences to Armenia over WWI killings  on the eve of the 99th anniversary of the start of the deportations"
2014-05-07,"Norway_gov","Norway_min","Norway","Norway",2014,"domestic","3_apology",FALSE,"Norway minister Anders Bals apologized to Roma people"
2014-10-01,"Ecuador_gov","Ecuador_min","Ecuador","Ecuador",2014,"domestic","3_apology",FALSE,"EcuadorÕs Minister of Justice, Ledy Zuniga, apologized to a community from the Sarayaku Indigenous group over the development of an oil project in their ancestral lands almost two decades ago."
2014-10-26,"Israel_gov","Israel_min","Israel","Israel",2014,"domestic","3_apology",FALSE,"Israeli President Reuven Rivlin apologized for the 1956 massacre of Palestinians in Kafr Qasim."
2015-03-26,"Kenya_gov","Kenya_min","Kenya","Kenya",2015,"domestic","3_apology",FALSE,"Kenyan President Uhuru Kenyatta apologized to the Kenyan people for past wrongs committed by his government and previous ones"
2015-04-08,"Norway_gov","Norway_min","Norway","Norway",2015,"domestic","3_apology",FALSE,"Norwegian Prime Minister Erna Solberg apologized to Roma people in a speech at the celebration on International Roma Day in Oslo."
2015-04-23,"Germany_gov","Armenia_gov","Germany","Armenia",2015,"international","1_acknowledge",FALSE,"German President Gauck acknowledged German shared responsibility and guilt for Armenian genocide"
2015-04-29,"Japan_gov","United States_gov","Japan","United States",2015,"international","3_apology",FALSE,"Prime Minister Shinz_ Abe stated ""deep repentance"" for Japan's actions during World War II during a speech at a Joint session of the United States Congress."
2015-06-01,"Norway_gov","Norway_min","Norway","Norway",2015,"domestic","3_apology",FALSE,"The Norwegian government issued an apology to the countryÕs Tater- and Romani minority for unjust treatment during the last century. "
2015-06-09,"Luxembourg_gov","holocaust_victims","Luxembourg","holocaust_victims",2015,"multilateral","3_apology",FALSE,"Luxembourg apologized for role in WWII persecution of Jews"
2015-07-23,"Croatia_gov","Israel_gov","Croatia","Israel",2015,"international","2_regret",FALSE,"During a visit to Israel, president Grabar Kitarovic expressed deep sorrow for all the victims who died in the Holocaust in Croatia at the hands of the collaborationist Ustashe regime."
2015-08-14,"Japan_gov","wwii_asia_victims","Japan","wwii_asia_victims",2015,"multilateral","2_regret",FALSE,"Japan's Prime Minister Shinzo Abe expressed ""utmost grief"" for the suffering Japan inflicted in World War II."
2015-08-15,"Japan_gov","wwii_asia_victims","Japan","wwii_asia_victims",2015,"multilateral","2_regret",TRUE,"Emperor Akihito expressed Òdeep remorseÓ over WWII at a memorial service on the 70th anniversary of the warÕs end."
2015-08-27,"Monaco_gov","holocaust_victims","Monaco","holocaust_victims",2015,"multilateral","3_apology",FALSE,"Prince Albert II of Monaco apologized for his countryÕs deportation of Jews during World War II and asks for forgiveness."
2015-11-06,"Colombia_gov","Colombia_min","Colombia","Colombia",2015,"domestic","3_apology",FALSE,"Colombian President Juan Manuel Santos apologized for deadly army raid supreme court"
2015-12-28,"Japan_gov","South Korea_gov","Japan","South Korea",2015,"international","4_apology_redress",FALSE,"Japan issued an apology and a $8.3 million payment for the Imperial ArmyÕs use of Òcomfort womenÓ during World War II"
2016-01-16,"El Salvador_gov","El Salvador_min","El Salvador","El Salvador",2016,"domestic","3_apology",FALSE,"El Salvador President Salvador Snchez Cern asked for forgiveness for the victims when commemorating the 24th anniversary of the end of the civil war (1980-1992)."
2016-01-23,"Colombia_gov","Colombia_min","Colombia","Colombia",2016,"domestic","3_apology",FALSE,"Colombian President Juan Manuel Santos apologized for the El Placer massacres in 1999"
2016-03-10,"Ethiopia_gov","Ethiopia_min","Ethiopia","Ethiopia",2016,"domestic","3_apology",FALSE,"Ethiopian Prime Minister Hailemariam Desalegn apologized for the death and destruction caused by protests in Oromia region"
2016-05-18,"Canada_gov","Canada_min","Canada",NA,2016,"domestic","3_apology",FALSE,"Canadian Prime Minister Justin Trudeau apologized for the 1914 Komagata Maru incident, in which 376 South Asians were refused entry to Canada."
2016-05-31,"Germany_gov","Armenia_gov","Germany","Armenia",2016,"international","2_regret",TRUE,"The German parliament recognizes the Armenian genocide, deplores the role of Germany and bows to the victims"
2016-07-05,"Solomon Islands_gov","Solomon Islands_min","Solomon Islands","Solomon Islands",2016,"domestic","3_apology",FALSE,"The Solomon Islands Prime Minister, Manasseh Sogavare, apologized to all Solomon Islanders for the 'ethnic tensions' at the turn of the century. "
2016-08-01,"Taiwan_gov","Taiwan_min","Taiwan","Taiwan",2016,"domestic","3_apology",FALSE,"Taiwan President Tsai Ing-wen apologized to the countryÕs aboriginal residents for centuries of mistreatment and discrimination."
2016-08-02,"Hungary_gov","holocaust_victims","Hungary","holocaust_victims",2016,"multilateral","3_apology",FALSE,"Hungarian minister apologized for role Hungary in Holocaust"
2016-08-31,"El Salvador_gov","El Salvador_min","El Salvador","El Salvador",2016,"domestic","3_apology",FALSE,"El Salvador President Snchez Cern apologized on behalf of the State to victims of the armed conflict"
2016-11-20,"Finland_gov","Finland_min","Finland","Finland",2016,"domestic","3_apology",FALSE,"Finland apologized for the pain and abuse suffered by generations of children in its care"
2017-01-09,"United States_gov","United States_min","United States","United States",2017,"domestic","3_apology",FALSE,"U.S. Secretary of State John Kerry apologized for ""lavender scare"": the state departments past treatment of gay US employees.Ê"
2017-04-04,"Jamaica_gov","Jamaica_min","Jamaica","Jamaica",2017,"domestic","3_apology",FALSE,"Jamaican Pime Minister Andrew Holness apologized to the Rastafari community in Parliament."
2017-06-09,"New Zealand_gov","New Zealand_min","New Zealand","New Zealand",2017,"domestic","3_apology",FALSE,"New Zealand offered the people of Parihaka an apology for actions in the late 1800s at a reconciliation ceremony."
2017-06-23,"Chile_gov","Chile_min","Chile","Chile",2017,"domestic","3_apology",FALSE,"Chilean President Michelle BacheletÕs apologized to the Mapuche Indians, for the Òmistakes and atrocitiesÓ committed against them by the Chilean state."
2017-07-06,"New Zealand_gov","New Zealand_min","New Zealand","New Zealand",2017,"domestic","3_apology",FALSE,"New Zealand apologized for the Òtremendous hurt and sufferingÓ of hundreds of men who were convicted of homosexuality during the years it was treated as a crime."
2017-08-15,"Japan_gov","wwii_asia_victims","Japan","wwii_asia_victims",2017,"multilateral","2_regret",FALSE,"Emperor Akihito expressed remorse for WWII"
2017-09-20,"Canada_gov","Canada_min","Canada","Canada",2017,"domestic","2_regret",FALSE,"Canadian Prime Minister Justin Trudeau called country's failure to respect the rights of Indigenous Peoples in Canada ""our great shame.""
"
2017-10-06,"Spain_gov","Spain_min","Spain","Catalonia",2017,"domestic","3_apology",FALSE,"The Spanish governmentÕs official representative in Catalonia apologized for police violence during the Catalan general strike."
2017-10-06,"Spain_gov","Spain_min","Spain","Catalonia",2017,"domestic","3_apology",FALSE,"The Spanish government spokesperson has apologized for police violence during the Catalan general strike."
2017-10-10,"Ecuador_gov","Ecuador_min","Ecuador","Ecuador",2017,"domestic","3_apology",FALSE,"Ecuador President Lenin Moreno asked for forgiveness on behalf of the State to those who were victims of human rights violations in several previous governments."
2017-11-24,"Canada_gov","Canada_min","Canada","Canada",2017,"domestic","3_apology",FALSE,"Canadian Prime Minister Justin Trudeau apologized for treatment of Indigenous children in residential schools "
2017-11-28,"Canada_gov","Canada_min","Canada","Canada",2017,"domestic","3_apology",FALSE,"Canadian Prime Minister Justin Trudeau apologized for historical injustices against CanadaÕs LGBTQ2 community. "
2017-12-06,"Jamaica_gov","Jamaica_min","Jamaica","Jamaica",2017,"domestic","3_apology",FALSE,"The Jamaican government apologized to residents of Tivoli Gardens and all Jamaicans who were affected by the operations of the security forces in May 2010, which resulted in the loss of lives and damage to property."
2017-12-20,"Mexico_gov","Mexico_min","Mexico","Mexico",2017,"domestic","3_apology",FALSE,"The Mexican government apologized to three hh indigenous women and recognized that it unfairly imprisoned them for 3 years."
2018-01-06,"Antigua and Barbuda_gov","Antigua and Barbuda_min","Antigua and Barbuda","Antigua and Barbuda",2018,"domestic","3_apology",FALSE,"Antigua and Barbuda Prime minister Gaston Browne apologized to Rastafarian community for decades of persecution and abuse by the police"
2018-03-04,"Ethiopia_gov","Ethiopia_min","Ethiopia","Ethiopia",2018,"domestic","3_apology",FALSE,"Ethiopian Prime minister Abiy Ahmed asks for forgiveness for past violence"
2018-03-08,"Poland_gov","Israel_gov","Poland","Israel",2018,"international","3_apology",FALSE,"Polish President Andrzej Duda apologized to Jews chased out of the country 50 years ago during the communist regimeÕs anti-Semitic campaign."
2018-03-23,"South Korea_gov","Vietnam_gov","South Korea","Vietnam",2018,"international","2_regret",FALSE,"South-Korean President Moon Jae-in expressed his regrets concerning massacres of Vietnamese civilians by Korean soldiers during the Vietnam War during a summit in Hanoi"
2018-03-26,"Canada_gov","Canada_min","Canada","Canada",2018,"domestic","3_apology",FALSE,"Canadian Prime Minister Justin Trudeau apologized for the 1864 hanging of a group of indigenous leaders by British colonial authorities. "
2018-04-03,"South Korea_gov","South Korea_min","South Korea","South Korea",2018,"domestic","3_apology",FALSE,"South-Korean President Moon Jae-in apologized to the victims of state violence during a ceremony marking the 70th anniversary of the bloody April 3 incident on the southern island of Jeju."
2018-04-16,"United Kingdom_gov","United Kingdom_min","United Kingdom",NA,2018,"domestic","3_apology",FALSE,"U.K. Home Secretary Amber Rudd delivered apology for the ÒappallingÓ actions of her own department towards Windrush-era citizens."
2018-04-17,"United Kingdom_gov","United Kingdom_min","United Kingdom",NA,2018,"domestic","3_apology",FALSE,"U.K. Prime Mininister Theresa May has apologized to the 12 Caribbean heads of government for the treatment of Windrush citizens and promised that no one would be deported."
2018-04-17,"United Kingdom_gov","United Kingdom_min","United Kingdom",NA,2018,"domestic","2_regret",FALSE,"U.K. Prime Minister Theresa May expressed regret for anti-gay laws and legacy of discrimination"
2018-05-01,"Antigua and Barbuda_gov","Antigua and Barbuda_min","Antigua and Barbuda","Antigua and Barbuda",2018,"domestic","3_apology",FALSE,"Antigua and Barbuda Prime Minister Gaston Browne apologized for discrimination of Rastafari"
2018-05-16,"Afghanistan_gov","Afghanistan_min","Afghanistan","Afghanistan",2018,"domestic","3_apology",FALSE,"Afghan President Ashraf Ghani apologized  to the families of civilians killed and injured in Dasht-e Archi, Kunduz province, on April 2, 2018 by Afghan air force helicopters."
2018-06-03,"Germany_gov","Germany_min","Germany",NA,2018,"domestic","3_apology",FALSE,"German President Frank-Walter Steinmeier apologized for the treatment of homosexuals under the National Socialist Regime "
2018-06-04,"Netherlands_gov","Netherlands_min","Netherlands","Netherlands",2018,"domestic","3_apology",FALSE,"The Dutch Minister of Defense apologized to those employed between 1984-2006 and who have not been properly protected for exposure to chromium-6."
2018-06-05,"Ireland_gov","Ireland_min","Ireland","Ireland",2018,"domestic","3_apology",FALSE,"Irish President Michael Higgins has apologized to thousands of women forced to work in the country's Magdalene Laundries."
2018-08-15,"Japan_gov","wwii_asia_victims","Japan","wwii_asia_victims",2018,"multilateral","2_regret",FALSE,"Emperor Akihito repeated his Òdeep remorseÓ at the annual ceremony commemorating the end of World War II, "
2018-08-23,"United Kingdom_gov","United Kingdom_min","United Kingdom","United Kingdom",2018,"domestic","3_apology",FALSE,"U.K. Home Secretary Amber Rudd apologized in the House of Commons to the Windrush generation."
2018-10-10,"El Salvador_gov","El Salvador_min","El Salvador","El Salvador",2018,"domestic","3_apology",FALSE,"El Salvador Minister of Foreign Affairs, Carlos Castaneda, asked for forgiveness for the killing of 22 inhabitants of the village of Las Canoas, Santa Ana by military groups on September 8, 1980."
2018-10-11,"Germany_gov","Greece_gov","Germany","Greece",2018,"international","3_apology",FALSE,"German President Frank-Walter Steinmeier apologized for nazi crimes in Greece"
2018-10-17,"Norway_gov","Norway_min","Norway","Norway",2018,"domestic","3_apology",FALSE,"Norway's Prime Minister Erna Solberg has issued an official government apology to Norwegian women who were mistreated over World War Two-era relationships with German soldiers."
2018-10-22,"Australia_gov","Australia_min","Australia","Australia",2018,"domestic","3_apology",FALSE,"Prime Minister Scott Morrison delivered apology to the thousands of Australians who suffered sexual abuse as children at the hands of institutions that were trusted with their care."
2018-10-25,"United Kingdom_gov","United Kingdom_min","United Kingdom",NA,2018,"domestic","3_apology",FALSE,"U.K. Minister Sajid Javis apologized to immigrants forced to give DNA sample"
2018-11-02,"Canada_gov","Canada_min","Canada","Canada",2018,"domestic","3_apology",FALSE,"Canadian Prime Minister Justin Trudeau apologized to the Tsilhqot'in Nation for the hanging of six chiefs more than 150 years ago. "
2018-11-06,"South Korea_gov","South Korea_min","South Korea","South Korea",2018,"domestic","3_apology",FALSE,"South Korean Prime Minister Lee Nak-yon apologized for sexual violence by troops in 1980 crackdown on Gwangju uprising"
2018-11-07,"South Korea_gov","South Korea_min","South Korea","South Korea",2018,"domestic","3_apology",TRUE,"South Korean defence minister bowed as he described how soldiers inflicted ""unspeakable pain"" on innocent women in the city of Gwangju in 1980."
2018-11-07,"Canada_gov","holocaust_victims","Canada","holocaust_victims",2018,"multilateral","3_apology",FALSE,"Canadian Prime Minister
Trudeau apologized for the 1939 decision to turn away Jewish refugees fleeing Nazis"
2019-02-28,"Germany_gov","Namibia_gov","Germany","Namibia",2019,"international","3_apology",FALSE,"German Minister Theresia Bauer apologized for 'injustices of the past' against the Namas and Hereros"
2019-03-01,"Armenia_gov","Armenia_min","Armenia","Armenia",2019,"domestic","3_apology",FALSE,"Armenian Prime Minister Pashinyan apologized to victims of March 1 2008 election protests, and to all victims of policital killings in Armenia since independence"
2019-03-05,"South Sudan_gov","South Sudan_min","South Sudan","South Sudan",2019,"domestic","3_apology",FALSE,"South Sudan President Salva Kiir asked for forgiveness from WauÕs inhabitants Òmistakes and sufferingÓ committed by the state during the civil war"
2019-03-08,"Canada_gov","Canada_min","Canada","Canada",2019,"domestic","3_apology",FALSE,"Canadian Prime Minister Justin Trudeau apologized in Iqaluit for the federal policy on tuberculosis in the mid-20th century."
2019-04-04,"Belgium_gov","Belgium_min","Belgium","Belgium",2019,"domestic","3_apology",FALSE,"Belgium apologized for kidnapping thousands of mixed-race children from Congo between 1959 and 1962."
2019-04-10,"United Kingdom_gov","India_gov","United Kingdom","India",2019,"international","2_regret",FALSE,"U.K. Prime minister Theresa May expressed regret in parliament for massacre in Amritsar"
2019-04-24,"Japan_gov","Japan_min","Japan","Japan",2019,"domestic","3_apology",FALSE,"Japanese Prime Minister Shinzo Abe issued an apology for the ""great suffering"" tens of thousands of victims of forced sterilisation experienced. "
2019-05-08,"United Kingdom_gov","United Kingdom_min","United Kingdom","United Kingdom",2019,"domestic","2_regret",FALSE,"U.K. Prime Minister Theresa May expressed regret during Vaisakhi reception for massacre in Amritsar"
2019-06-12,"Netherlands_gov","Netherlands_min","Netherlands","Netherlands",2019,"domestic","3_apology",FALSE,"The Dutch government apologized for the psychological, physical, and sexual violence in Child Services from 1945 to the present."
2019-08-01,"Germany_gov","Poland_gov","Germany","Poland",2019,"international","3_apology",FALSE,"German Foreign Affairs Minister Heiko Maas asks for forgiveness for WO II"
2019-08-13,"Denmark_gov","Denmark_min","Denmark","Denmark",2019,"domestic","3_apology",FALSE,"Danish Prime Minister Mette Frederiksen has officially said sorry to hundreds of victims of historical abuse in state-run homes. "
2019-08-15,"Japan_gov","wwii_asia_victims","Japan","wwii_asia_victims",2019,"multilateral","2_regret",FALSE,"Emperor Naruhito expressed Òdeep and renewed sense of sorrowÓ to victims of WWII"
2019-08-25,"Germany_gov","Italy_gov","Germany","Italy",2019,"international","3_apology",FALSE,"German President Frank-Walter Steinmeier apologized to victims of massacre in Fivizzano"
2019-09-01,"Germany_gov","Poland_gov","Germany","Poland",2019,"international","3_apology",FALSE,"German President Frank-Walter Steinmeier asks Poland for forgiveness for WWII (Wieln)"
2019-10-16,"South Korea_gov","South Korea_min","South Korea","South Korea",2019,"domestic","3_apology",FALSE,"South-Korean President Moon Jae-in apologized to victims of the Busan-Masan democratic protests during a ceremony at Kyungnam University"
2019-10-22,"Ireland_gov","Ireland_min","Ireland","Ireland",2019,"domestic","3_apology",FALSE,"Taoiseach Leo Varadkar has apologized to women with cervical cancer."
2019-12-19,"Netherlands_gov","Netherlands_min","Netherlands","Netherlands",2019,"domestic","3_apology",FALSE,"The Dutch government apologized to the women who were forced to work in laundries run by the Sisters of the Good Shepherd (Zusters van de Goede Herder)."
2020-01-23,"Germany_gov","holocaust_victims","Germany","holocaust_victims",2020,"multilateral","2_regret",TRUE,"German President Walter Steinmeier says he 'bows in deepest sorrow' for the victims of the Holocaust during Fifth Holocaust Forum at Yad Vashem"
2020-01-26,"Netherlands_gov","holocaust_victims","Netherlands","holocaust_victims",2020,"multilateral","3_apology",FALSE,"Dutch Prime Minister Mark Rutte apologized during the National Holocaust Commemoration for the Dutch government actions during the Holocaust"
2020-03-10,"Netherlands_gov","Indonesia_gov","Netherlands","Indonesia",2020,"international","3_apology",FALSE,"Netherlands King Willem-Alexander apologized to Indonesia for the violent excesses by Dutch soldiers during the Indonesian independence war of 1945-49."
2020-03-19,"United Kingdom_gov","United Kingdom_min","United Kingdom",NA,2020,"domestic","3_apology",FALSE,"U.K. Home Secretary Priti Patel apologized to Windrush generation in makes a statement on the Windrush lessons learned review."
2020-06-08,"United Kingdom_gov","United Kingdom_min","United Kingdom",NA,2020,"domestic","3_apology",FALSE,"U.K. Home Secretary Priti Patel apologized to Windrush generation via Twitter."
2020-06-30,"Belgium_gov","Congo_gov","Belgium","Congo",2020,"international","2_regret",FALSE,"Belgian King Filippe expressed 'profound regret' in a letter to the President of the Democratic Republic of Congo as the country marks the 60th anniversary of its independence."
2020-07-30,"Spain_gov","Spain_min","Spain","Spain",2020,"domestic","3_apology",FALSE,"The Second Deputy Prime Minister Spain has apologized for ""institutional racism"" in the country against people from the Roma ethnic community."
2020-08-13,"Belarus_gov","Belarus_min","Belarus","Belarus",2020,"domestic","3_apology",FALSE,"Interior Minister Yuri Karayev apologized to  Belarussians that got detained after protesting the results of  elections."
2020-08-15,"Japan_gov","wwii_asia_victims","Japan","wwii_asia_victims",2020,"multilateral","2_regret",FALSE,"Emperor Naruhito expressed ""deep remorse"" over Japan's wartime past at a memorial ceremony to mark the 75th anniversary of the end of World War II."
2020-10-30,"Qatar_gov","other_multilateral","Qatar","other_multilateral",2020,"multilateral","3_apology",FALSE,"Qatar issued its 'sincerest apology' for the forced internal examinations of women at airport"
2020-11-30,"Netherlands_gov","Netherlands_min","Netherlands","Netherlands",2020,"domestic","3_apology",FALSE,"The Dutch government apologized to transgender people for previously mandating surgeries, including sterilization, as a prerequisite for legal gender recognition."
2020-12-08,"Denmark_gov","Denmark_min","Denmark","Greenland",2020,"domestic","3_apology",FALSE,"Danish Prime minister Mette Frederiksen apologized to children taken from Greenland in 1950s 'social experiment'"
